iter	Passed	Remaining
0	2	2636
1	4	2038
2	6	2073
3	8	2044
4	9	1943
5	11	1892
6	13	1844
7	14	1795
8	16	1767
9	17	1730
10	19	1725
11	20	1716
12	22	1700
13	23	1689
14	25	1673
15	27	1661
16	28	1652
17	29	1632
18	31	1646
19	33	1635
20	35	1634
21	36	1629
22	38	1620
23	39	1618
24	41	1612
25	42	1606
26	44	1589
27	45	1588
28	48	1622
29	51	1673
30	54	1689
31	55	1685
32	57	1678
33	58	1669
34	60	1664
35	62	1672
36	63	1663
37	65	1664
38	67	1658
39	68	1650
40	70	1641
41	71	1635
42	73	1628
43	74	1624
44	76	1630
45	78	1628
46	80	1627
47	81	1620
48	83	1619
49	84	1612
50	86	1611
51	88	1605
52	89	1599
53	90	1593
54	92	1591
55	94	1588
56	96	1590
57	97	1589
58	99	1585
59	100	1580
60	102	1575
61	104	1574
62	105	1572
63	107	1569
64	108	1563
65	110	1563
66	112	1560
67	113	1556
68	115	1554
69	117	1556
70	118	1554
71	120	1551
72	122	1550
73	123	1545
74	125	1545
75	126	1542
76	128	1538
77	129	1533
78	131	1529
79	132	1526
80	134	1522
81	135	1519
82	136	1509
83	138	1510
84	140	1507
85	141	1504
86	143	1504
87	144	1500
88	146	1497
89	147	1493
90	149	1492
91	151	1491
92	153	1492
93	154	1487
94	155	1485
95	157	1487
96	159	1484
97	161	1485
98	162	1482
99	164	1479
100	165	1477
101	167	1474
102	169	1475
103	171	1474
104	172	1472
105	174	1468
106	175	1468
107	177	1465
108	179	1463
109	180	1464
110	182	1462
111	183	1458
112	185	1458
113	188	1461
114	189	1461
115	191	1461
116	193	1457
117	194	1456
118	196	1455
119	198	1458
120	200	1457
121	202	1455
122	204	1458
123	206	1459
124	208	1459
125	210	1461
126	212	1457
127	214	1459
128	216	1460
129	218	1461
130	220	1463
131	222	1460
132	223	1457
133	225	1456
134	227	1454
135	229	1456
136	230	1452
137	232	1449
138	233	1448
139	235	1445
140	237	1445
141	238	1439
142	239	1436
